Country,City,Average time travel by public transport (Min),Percentage of people that ride public transport more than 2 hour everyday (%),Average waiting time at station (Min),Percentage of people that wait longer than 20 mins (%),Average travel distance for single trip (KM),Percentage of people that travel over 12 km in single direction (%),Percentage of people who transfer transit lines at least once in a single trip (%),Percentage of people who transfer transit lines at least twice in a single trip (%),Average distance people walk every day in one direction (KM),Percentage of people who walk for over 1 km each day to reach a specific destination (%)
Italy,Trieste,49,10,11,18,4.6,6,49,15,0.71,20
Italy,Turin,38,13,12,12,5.5,10,39,43,0.70,20
Italy,Venice,35,12,8,5,7.0,13,46,33,0.89,31
Malaysia,Kuala Lumpur,51,33,17,31,7.1,16,31,45,0.83,30
México,Aguascalientes,41,10,27,56,5,3,54,31,0.68,19
México,Ciudad de Mexico,66,42,11,11,10.6,32,23,50,1.05,42
México,Guadalajara,56,33,16,24,7.8,18,31,49,0.64,16
México,Leon,78,21,20,40,5.1,2,76,23,0.95,36
México,Monterrey,62,39,20,40,9.4,27,32,53,1.13,44
México,Puebla,49,20,10,10,5.9,8,36,49,0.56,12
México,Queretaro,52,26,28,57,5.8,8,42,43,0.73,21
México,San Luis Potosi,42,14,16,21,5,4,45,44,0.62,15
Peru,Lima,59,34,12,16,8.3,21,41,41,1.26,42
Portugal,Coimbra,35,2,12,17,2.4,0,29,0,0.69,19
Portugal,Lisboa,48,24,14,18,7.1,17,31,39,0.70,22
Portugal,"Porto, Braga and Vila Real",38,13,11,12,5.1,7,40,42,0.68,21
Russia,Moscow,53,31,10,10,8.5,24,31,43,0.82,29
Russia,Saint Petersburg,51,25,11,11,6.5,14,40,45,0.78,26
Singapore,Singapore,46,24,8,3,6.3,16,27,48,0.60,15
Spain,Barcelona,37,9,10,9,7.4,16,40,43,0.64,17
Spain,Bilbao,25,2,8,3,6,13,63,25,0.81,27
Spain,Burgos,22,1,9,7,2.2,0,61,24,0.64,17
Spain,Ciudad Real,33,3,8,1,2,0,22,3,0.75,24
Spain,Granada,25,3,10,5,2.8,1,60,25,0.58,13
Spain,Madrid,45,21,10,10,9.4,26,29,44,0.65,18
Spain,Malaga,31,5,11,8,5.6,11,48,38,0.83,28
Spain,Mallorca,30,3,14,14,7.9,17,56,26,0.89,31
Spain,Sevilla,31,6,10,8,4,5,54,32,0.73,23
Spain,Tenerife,30,8,15,23,10.2,22,37,45,0.87,30
Spain,València,31,6,11,10,4.8,7,50,32,0.83,29
Spain,Vigo,29,3,11,10,3.2,2,64,25,0.59,15
Spain,Zaragoza,27,2,9,4,3.2,3,41,41,0.57,12
Thailand,Bangkok,62,42,20,38,8.7,25,27,46,0.86,30
Turkey,Adana - Mersin,46,17,15,20,6.8,11,68,22,0.75,24
Turkey,Ankara,56,35,14,18,7.7,20,35,48,0.83,29
Turkey,Antalya,54,27,19,30,7.0,12,60,27,0.71,20
Turkey,Bursa,50,26,14,17,5.7,9,49,39,0.58,15
Turkey,Istanbul,68,47,13,17,9,24,33,41,1.07,40
Turkey,Izmir - Aydin,53,30,12,13,7.4,14,27,49,0.80,27
United Arab Emirates,Dubai / Abu Dhabi,45,18,13,15,11.3,28,40,38,1.01,39
United Kingdom,East Midlands,52,16,12,18,6.2,11,32,13,0.98,36
United Kingdom,London,47,24,10,4,7.4,17,37,36,0.61,16
United Kingdom,North East and Cumbria,64,22,14,23,8.1,17,40,14,0.73,21
United Kingdom,North West,39,15,10,3,5.8,9,56,31,0.68,20
United Kingdom,Scotland,38,12,10,3,7.7,14,47,29,0.68,20
United Kingdom,South West,35,10,9,3,6.2,10,55,24,0.95,33
United Kingdom,West Midlands,44,21,11,6,5.2,8,53,27,0.68,20
United Kingdom,Yorkshire,38,12,10,7,5.5,9,46,31,0.77,25
United States,Boston,46,19,11,13,6.0,11,32,45,0.72,23
United States,Chicago,57,32,15,23,8.4,21,24,43,0.70,21
United States,"Denver - Boulder, CO",77,31,14,25,11.2,31,54,22,1.14,45
United States,Los Angeles,55,31,17,30,8.2,20,27,42,0.68,21
United States,Miami,58,35,18,28,8.5,22,29,41,0.88,31
United States,"Minneapolis - St. Paul, MN",66,0.19,13,0.14,8.3,20,51,0.16,0.88,30
United States,New York - New Jersey,54,30,13,14,8.0,21,29,49,0.63,17
United States,Philadelphia,50,26,15,22,7.0,17,29,40,0.69,21
United States,Pittsburgh,43,20,15,19,5.7,11,44,41,0.72,22
United States,"Portland, OR",90,36,14,21,8.2,18,52,20,0.98,36
United States,San Diego,70,23,16,29,11.2,30,55,27,1.21,48
United States,"San Francisco - San Jose, CA",45,20,14,19,8.6,19,39,36,0.75,24
United States,"Seattle - Tacoma, WA",52,32,15,26,11.0,32,34,46,0.88,31
United States,"Washington, D.C. - Baltimore, MD",54,28,17,27,7.9,20,32,46,0.84,28
Uruguay,Montevideo,42,16,14,16,6.3,12,44,42,0.53,11
